timestamp_utc,umap_n_neighbors,umap_min_dist,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples,umap_metric,hdbscan_metric,rows_processed,cluster_count,noise_count,noise_ratio,top10_mean_outlier_score
2026-03-08T20:26:46.475035+00:00,15,0.0,50,10,3,cosine,euclidean,638.0,17.0,292.0,0.45768025078369906,0.24359585493803024
2026-03-08T20:26:47.512851+00:00,15,0.0,50,10,5,cosine,euclidean,638.0,17.0,338.0,0.5297805642633229,0.2644690811634064
2026-03-08T20:26:48.546158+00:00,15,0.0,50,20,3,cosine,euclidean,638.0,2.0,105.0,0.164576802507837,0.19018902480602265
2026-03-08T20:26:49.579379+00:00,15,0.0,50,20,5,cosine,euclidean,638.0,7.0,322.0,0.5047021943573667,0.27313916087150575
2026-03-08T20:26:50.612351+00:00,15,0.2,50,10,3,cosine,euclidean,638.0,12.0,334.0,0.5235109717868338,0.21933421939611436
2026-03-08T20:26:51.640684+00:00,15,0.2,50,10,5,cosine,euclidean,638.0,5.0,408.0,0.6394984326018809,0.22881558090448378
2026-03-08T20:26:52.681161+00:00,15,0.2,50,20,3,cosine,euclidean,638.0,2.0,214.0,0.335423197492163,0.21933421939611436
2026-03-08T20:26:53.714503+00:00,15,0.2,50,20,5,cosine,euclidean,638.0,3.0,413.0,0.6473354231974922,0.22881558090448378
2026-03-08T20:26:54.950484+00:00,30,0.0,50,10,3,cosine,euclidean,638.0,23.0,277.0,0.4341692789968652,0.21904450207948684
2026-03-08T20:26:56.177300+00:00,30,0.0,50,10,5,cosine,euclidean,638.0,15.0,339.0,0.5313479623824452,0.24143992662429808
2026-03-08T20:26:57.440320+00:00,30,0.0,50,20,3,cosine,euclidean,638.0,5.0,327.0,0.512539184952978,0.25265426784753797
2026-03-08T20:26:58.735799+00:00,30,0.0,50,20,5,cosine,euclidean,638.0,7.0,422.0,0.6614420062695925,0.2529430896043777
2026-03-08T20:26:59.960772+00:00,30,0.2,50,10,3,cosine,euclidean,638.0,16.0,374.0,0.5862068965517241,0.20146715342998506
2026-03-08T20:27:01.192487+00:00,30,0.2,50,10,5,cosine,euclidean,638.0,10.0,437.0,0.6849529780564263,0.20011631697416304
2026-03-08T20:27:02.422940+00:00,30,0.2,50,20,3,cosine,euclidean,638.0,5.0,450.0,0.7053291536050157,0.2433082342147827
2026-03-08T20:27:03.646877+00:00,30,0.2,50,20,5,cosine,euclidean,638.0,3.0,369.0,0.5783699059561128,0.20011631697416304
